,Colaborador_gen,Categoria,Especialidade,Nivel,Turma
480,Colaborador 4,Data Science,Apache Hadoop,Intermediario,2
481,Colaborador 4,Data Science,Apache Spark,Intermediario,2
482,Colaborador 4,Database,Linguagem SQL,Intermediario,2
483,Colaborador 4,Desenvolvimento,Assembler,Intermediario,2
484,Colaborador 4,Desenvolvimento,C++,Intermediario,2
485,Colaborador 4,Desenvolvimento,CSS,Intermediario,2
486,Colaborador 4,Desenvolvimento,HTML,Intermediario,2
487,Colaborador 4,Desenvolvimento,Pascal/Delphi,Intermediario,2
488,Colaborador 4,Desenvolvimento,Python,Intermediario,2
489,Colaborador 4,Desenvolvimento,R,Intermediario,2
490,Colaborador 4,Monitoramento,Nagios,Intermediario,2
491,Colaborador 4,Redes,Cabeamento,Intermediario,2
492,Colaborador 4,Redes,Estrutura de Redes,Intermediario,2
493,Colaborador 4,Redes,Roteador Cisco,Intermediario,2
494,Colaborador 4,Redes,Switches Cisco,Intermediario,2
495,Colaborador 4,Redes,Wi-Fi,Intermediario,2
496,Colaborador 4,SO,Linux Debian,Intermediario,2
497,Colaborador 4,SO,Linux Red Hat,Intermediario,2
498,Colaborador 4,Telefonia,Digitro/Asterisk,Intermediario,2
499,Colaborador 4,Telefonia,Unify,Intermediario,2
500,Colaborador 6,Cloud,AWS,Intermediario,2
501,Colaborador 6,Desenvolvimento,CSS,Intermediario,2
502,Colaborador 6,Desenvolvimento,HTML,Intermediario,2
503,Colaborador 6,Desenvolvimento,PHP,Intermediario,2
504,Colaborador 6,E-mails/Collab,Exchange,Intermediario,2
505,Colaborador 6,E-mails/Collab,Sharepoint,Intermediario,2
506,Colaborador 6,Firewall,Cisco,Intermediario,2
507,Colaborador 6,Firewall,Sophos,Intermediario,2
508,Colaborador 6,Monitoramento,MonitoraIT,Intermediario,2
509,Colaborador 6,Monitoramento,Nagios,Intermediario,2
510,Colaborador 6,Monitoramento,RMM,Intermediario,2
511,Colaborador 6,Monitoramento,Zabbix,Intermediario,2
512,Colaborador 6,Segurança,SIEM,Intermediario,2
513,Colaborador 6,Segurança,Sophos,Intermediario,2
514,Colaborador 6,Servidores,Failover Cluster,Intermediario,2
515,Colaborador 7,Database,Linguagem SQL,Intermediario,2
516,Colaborador 7,Database,MySQL,Intermediario,2
517,Colaborador 7,Database,SQL Server ,Intermediario,2
518,Colaborador 7,Desenvolvimento,Delphi,Intermediario,2
519,Colaborador 7,Desenvolvimento,VB6,Intermediario,2
520,Colaborador 7,Devops,Azure Devops,Intermediario,2
521,Colaborador 7,Devops,Git,Intermediario,2
522,Colaborador 7,E-mails/Collab,Power Apps,Intermediario,2
523,Colaborador 7,E-mails/Collab,Power Automate ,Intermediario,2
524,Colaborador 7,SO,MACOS,Intermediario,2
525,Colaborador 7,SO,Windows,Intermediario,2
526,Colaborador 8,Database,MySQL,Intermediario,2
527,Colaborador 8,E-mails/Collab,ETL SQL Integration,Intermediario,2
528,Colaborador 8,Servidores,Windows Server,Intermediario,2
529,Colaborador 9,E-mails/Collab,Exchange,Intermediario,2
530,Colaborador 9,E-mails/Collab,Office 365,Intermediario,2
531,Colaborador 9,Firewalls,Sophos,Intermediario,2
532,Colaborador 9,Firewalls,Windows Firewall,Intermediario,2
533,Colaborador 9,Monitoramento,Service Now,Intermediario,2
534,Colaborador 9,Segurança,Antivirus KasperSky,Intermediario,2
535,Colaborador 9,Segurança,Antivirus Trend,Intermediario,2
536,Colaborador 9,Segurança,VPN,Intermediario,2
